1	119
1	980
2	244
2	954
3	988
3	996
4	206
4	998
5	728
5	988
6	231
6	346
7	154
7	639
8	331
8	1000
9	357
9	772
10	210
10	599
11	990
11	999
12	168
12	939
13	25
13	319
14	191
14	409
15	313
15	973
16	994
16	995
17	976
17	991
18	224
18	835
19	186
19	214
20	41
20	959
21	624
21	979
22	544
22	628
23	63
23	298
24	937
24	940
25	13
25	319
26	150
26	576
27	323
27	739
28	991
28	992
29	286
29	641
30	970
30	993
31	603
31	766
32	937
32	940
33	50
33	438
34	43
34	973
35	955
35	988
36	275
36	389
37	198
37	879
38	526
38	959
39	794
39	936
40	569
40	596
41	20
41	959
42	263
42	968
43	34
43	973
44	991
44	992
45	247
45	358
46	583
46	983
47	569
47	596
48	220
48	276
49	352
49	566
50	33
50	932
50	992
51	250
51	362
52	304
52	983
53	439
53	998
54	143
54	510
55	156
55	582
56	938
56	969
57	976
57	995
58	687
58	849
59	98
59	814
60	990
60	997
61	299
61	579
62	246
62	985
63	23
63	156
64	975
64	981
65	229
65	435
66	470
66	800
67	378
67	395
68	408
68	980
69	147
69	273
70	953
70	968
71	559
71	585
72	200
72	952
73	478
73	980
74	605
74	982
75	260
75	969
76	601
76	796
77	975
77	981
78	994
78	995
79	406
79	519
80	727
80	947
81	95
81	633
82	187
82	253
83	179
83	374
84	649
84	959
85	990
85	997
86	412
86	776
87	105
87	599
88	542
88	706
89	153
89	998
90	212
90	343
91	496
91	995
92	326
92	351
93	520
93	994
94	475
94	965
95	81
95	633
96	606
96	788
97	247
97	970
98	59
98	596
99	506
99	619
100	653
100	939
101	988
101	996
102	359
102	958
103	119
103	669
104	865
104	939
105	87
105	599
106	497
106	800
107	138
107	633
108	425
108	979
109	385
109	982
110	402
110	933
111	193
111	522
112	227
112	314
113	972
113	988
114	129
114	979
115	128
115	254
116	166
116	993
117	439
117	998
118	788
118	931
119	1
119	103
120	177
120	392
121	493
121	849
122	972
122	988
123	834
123	964
124	447
124	998
125	416
125	682
126	213
126	676
127	162
127	398
128	115
128	254
129	114
129	979
130	994
130	995
131	976
131	992
132	528
132	938
133	279
133	999
134	915
134	993
135	231
135	303
136	189
136	401
137	948
137	985
138	107
138	633
139	163
139	988
140	990
140	999
141	810
141	947
142	994
142	995
143	54
143	510
144	938
144	969
145	432
145	998
146	333
146	995
147	69
147	273
148	997
148	999
149	938
149	969
150	26
150	576
151	618
151	835
152	950
152	953
153	89
153	998
154	7
154	959
155	335
155	998
156	55
156	63
157	241
157	713
158	994
158	995
159	990
159	997
160	410
160	566
161	269
161	980
162	127
162	605
163	139
163	988
164	472
164	772
165	975
165	981
166	116
166	993
167	976
167	991
168	12
168	939
169	988
169	996
170	266
170	570
171	302
171	949
172	984
172	1000
173	288
173	350
174	975
174	981
175	952
175	968
176	915
176	993
177	120
177	392
178	470
178	992
179	83
179	372
180	306
180	310
181	293
181	571
182	915
182	993
183	185
183	363
184	424
184	982
185	183
185	985
186	19
186	214
187	82
187	253
188	997
188	999
189	136
189	401
190	216
190	334
191	14
191	409
192	970
192	993
193	111
193	522
194	638
194	963
195	865
195	939
196	972
196	988
197	749
197	973
198	37
198	879
199	424
199	982
200	72
200	952
201	964
201	993
